8=FIX4.4; 35=A; 34=1; 49=MTHREE; 56=MS; 52=2022-04-18-19:12:39; 108=30; 10=0015;
8=FIX4.4; 35=A; 34=1; 49=MS; 56=MTHREE; 52=2022-04-18-19:12:39; 108=30; 10=0016;
8=FIX4.4; 35=0; 34=2; 49=MTHREE; 56=MS; 52=2022-04-18-19:12:39; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=2; 49=MS; 56=MTHREE; 52=2022-04-18-19:12:39; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=3; 49=MTHREE; 56=MS; 52=2022-04-18-19:12:41; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=3; 49=MS; 56=MTHREE; 52=2022-04-18-19:12:41; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=4; 49=MTHREE; 56=MS; 52=2022-04-18-19:12:43; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=4; 49=MS; 56=MTHREE; 52=2022-04-18-19:12:43; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=5; 49=MTHREE; 56=MS; 52=2022-04-18-19:12:45; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=5; 49=MS; 56=MTHREE; 52=2022-04-18-19:12:45; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=6; 49=MTHREE; 56=MS; 52=2022-04-18-19:12:47; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=6; 49=MS; 56=MTHREE; 52=2022-04-18-19:12:47; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=7; 49=MTHREE; 56=MS; 52=2022-04-18-19:12:49; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=7; 49=MS; 56=MTHREE; 52=2022-04-18-19:12:49; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=8; 49=MTHREE; 56=MS; 52=2022-04-18-19:12:51; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=8; 49=MS; 56=MTHREE; 52=2022-04-18-19:12:51; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=9; 49=MTHREE; 56=MS; 52=2022-04-18-19:12:53; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=9; 49=MS; 56=MTHREE; 52=2022-04-18-19:12:53; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=10; 49=MTHREE; 56=MS; 52=2022-04-18-19:12:55; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=10; 49=MS; 56=MTHREE; 52=2022-04-18-19:12:55; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=11; 49=MTHREE; 56=MS; 52=2022-04-18-19:12:57; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=11; 49=MS; 56=MTHREE; 52=2022-04-18-19:12:57; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=12; 49=MTHREE; 56=MS; 52=2022-04-18-19:12:59; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=12; 49=MS; 56=MTHREE; 52=2022-04-18-19:12:59; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=13; 49=MTHREE; 56=MS; 52=2022-04-18-19:13:01; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=13; 49=MS; 56=MTHREE; 52=2022-04-18-19:13:01; 108=30; 10=0015;
