Client,MessageType,Stock,Quantity,Side,OrderiD,LastQuantity,Execid,LastPrice
,,MS,A,,,,,,
,,MTHREE,A,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,0,,,,,,
,,MTHREE,0,,,,,,
,,MS,D,AAPL,2900,1276.37,1,algo20220414170426,
exec20220414170426,1276.37,MTHREE,8,AAPL,2900,1276.37,1,algo20220414170426,0
exec20220414170426,1276.37,MTHREE,8,AAPL,2900,1276.37,1,algo20220414170426,725
exec20220414170427,1276.37,MTHREE,8,AAPL,2900,1276.37,1,algo20220414170426,725
