Activity,Client,MSGType,Stock,Quantity,PriceSide,OuteriD,LastQtity,Execid,LastPrice
exec20220414170426, ,MS,A, , , , , , 
exec20220414170426, ,MTHREE,A, , , , , , 
exec20220414170427, ,MS,0, , , , , , 
exec20220414170428, ,MTHREE,0, , , , , , 
exec20220414170430, ,MS,0, , , , , , 
exec20220414170430, ,MTHREE,0, , , , , , 
exec20220414170430, ,MS,0, , , , , , 
exec20220414170430, ,MTHREE,0, , , , , , 
exec20220414170432, ,MS,0, , , , , , 
exec20220414170432, ,MTHREE,0, , , , , , 
exec20220414170433, ,MS,0, , , , , , 
exec20220414170435, ,MTHREE,0, , , , , , 
exec20220414170435, ,MS,0, , , , , , 
exec20220414170435, ,MTHREE,0, , , , , , 
exec20220414170435, ,MS,0, , , , , , 
exec20220414170437, ,MTHREE,0, , , , , , 
exec20220414170437, ,MS,0, , , , , , 
exec20220414170438, ,MTHREE,0, , , , , , 
exec20220414170439, ,MS,0, , , , , , 
exec20220414170439, ,MTHREE,0, , , , , , 
exec20220414170441, ,MS,0, , , , , , 
exec20220414170441, ,MTHREE,0, , , , , , 
exec20220414170441, ,MS,0, , , , , , 
exec20220414170443, ,MTHREE,0, , , , , , 
exec20220414170443, ,MS,0, , , , , , 
exec20220414170445, ,MTHREE,0, , , , , , 
exec20220414170445, ,MS,0, , , , , , 
exec20220414170445, ,MTHREE,0, , , , , , 
exec20220414170445, ,MS,0, , , , , , 
exec20220414170447, ,MTHREE,0, , , , , , 
exec20220414170448, ,MS,0, , , , , , 
exec20220414170448, ,MTHREE,0, , , , , , 
exec20220414170448, ,MS,0, , , , , , 
exec20220414170448, ,MTHREE,0, , , , , , 
exec20220414170450, ,MS,0, , , , , , 
exec20220414170450, ,MTHREE,0, , , , , , 
exec20220414170450, ,MS,0, , , , , , 
exec20220414170453, ,MTHREE,0, , , , , , 
exec20220414170453, ,MS,0, , , , , , 
exec20220414170454, ,MTHREE,0, , , , , , 
exec20220414170454, ,MS,0, , , , , , 
exec20220414170456, ,MTHREE,0, , , , , , 
exec20220414170457, ,MS,0, , , , , , 
exec20220414170457, ,MTHREE,0, , , , , , 
exec20220414170457, ,MS,0, , , , , , 
exec20220414170458, ,MTHREE,0, , , , , , 
exec20220414170459, ,MS,0, , , , , , 
exec20220414170500, ,MTHREE,0, , , , , , 
exec20220414170500, ,MS,0, , , , , , 
exec20220414170502, ,MTHREE,0, , , , , , 
exec20220414170503, ,MS,0, , , , , , 
exec20220414170503, ,MTHREE,0, , , , , , 
exec20220414170503, ,MS,0, , , , , , 
exec20220414170504, ,MTHREE,0, , , , , , 
exec20220414170505, ,MS,0, , , , , , 
exec20220414170505, ,MTHREE,0, , , , , , 
exec20220414170507, ,MS,0, , , , , , 
exec20220414170507, ,MTHREE,0, , , , , , 
exec20220414170507, ,MS,0, , , , , , 
exec20220414170509, ,MTHREE,0, , , , , , 
exec20220414170509, ,MS,0, , , , , , 
exec20220414170511, ,MTHREE,0, , , , , , 
exec20220414170511, ,MS,0, , , , , , 
exec20220414170511, ,MTHREE,0, , , , , , 
exec20220414170511, ,MS,0, , , , , , 
exec20220414170513, ,MTHREE,0, , , , , , 
exec20220414170513, ,MS,0, , , , , , 
exec20220414170515, ,MTHREE,0, , , , , , 
exec20220414170515, ,MS,0, , , , , , 
exec20220414170515, ,MTHREE,0, , , , , , 
exec20220414170515, ,MS,0, , , , , , 
exec20220414170517, ,MTHREE,0, , , , , , 
exec20220414170517, ,MS,0, , , , , , 
exec20220414170518, ,MTHREE,0, , , , , , 
exec20220414170520, ,MS,0, , , , , , 
exec20220414170520, ,MTHREE,0, , , , , , 
exec20220414170520, ,MS,0, , , , , , 
exec20220414170520, ,MTHREE,0, , , , , , 
exec20220414170523, ,MS,0, , , , , , 
exec20220414170524, ,MTHREE,0, , , , , , 
exec20220414170524, ,MS,0, , , , , , 
exec20220414170524, ,MTHREE,0, , , , , , 
exec20220414170524, ,MS,0, , , , , , 
exec20220414170526, ,MTHREE,0, , , , , , 
exec20220414170526, ,MS,0, , , , , , 
, ,MTHREE,0, , , , , , 
, ,MS,0, , , , , , 
, ,MTHREE,0, , , , , , 
, ,MS,0, , , , , , 
, ,MTHREE,0, , , , , , 
, ,MS,0, , , , , , 
, ,MTHREE,0, , , , , , 
, ,MS,0, , , , , , 
, ,MTHREE,0, , , , , , 
, ,MS,0, , , , , , 
, ,MTHREE,0, , , , , , 
, ,MS,0, , , , , , 
, ,MTHREE,0, , , , , , 
, ,MS,0, , , , , , 
, ,MTHREE,0, , , , , , 
, ,MS,0, , , , , , 
, ,MTHREE,0, , , , , , 
, ,MS,D,AAPL,2900,1276.37,1,algo20220414170426, 
,1276.37,MTHREE,8,AAPL,2900,1276.37,1,algo20220414170426,0
,1276.37,MTHREE,8,AAPL,2900,1276.37,1,algo20220414170426,725
,1276.37,MTHREE,8,AAPL,2900,1276.37,1,algo20220414170426,725
,1276.37,MTHREE,8,AAPL,2900,1276.37,1,algo20220414170426,725
,1276.37,MTHREE,8,AAPL,2900,1276.37,1,algo20220414170426,725
, ,MS,D,MSFT,20163,59.89,2,algo20220414170430, 
,59.89,MTHREE,8,MSFT,20163,59.89,2,algo20220414170430,0
, ,MS,F,MSFT,20163, , ,C_algo20220414170430, 
,0,MTHREE,8,MSFT,20163,59.89,2,C_algo20220414170430,0
,0,MTHREE,8,MSFT,20163, ,2,C_algo20220414170430,0
, ,MS,D,AMZN,30158,133.47,1,algo20220414170432, 
,133.47,MTHREE,8,AMZN,30158,133.47,1,algo20220414170432,0
,133.47,MTHREE,8,AMZN,30158,133.47,1,algo20220414170432,10052
,133.47,MTHREE,8,AMZN,30158,133.47,1,algo20220414170432,10052
,133.47,MTHREE,8,AMZN,30158,133.47,1,algo20220414170432,10054
, ,MS,D,FB,11019,430.62,2,algo20220414170435, 
,430.62,MTHREE,8,FB,11019,430.62,2,algo20220414170435,0
, ,MS,F,FB,11019, , ,C_algo20220414170435, 
,0,MTHREE,8,FB,11019,430.62,2,C_algo20220414170435,0
,0,MTHREE,8,FB,11019, ,2,C_algo20220414170435,0
, ,MS,D,GOOG,21014,42.05,1,algo20220414170437, 
,42.05,MTHREE,8,GOOG,21014,42.05,1,algo20220414170437,0
,42.05,MTHREE,8,GOOG,21014,42.05,1,algo20220414170437,5253
,42.05,MTHREE,8,GOOG,21014,42.05,1,algo20220414170437,5253
, ,MS,F,GOOG,21014, , ,C_algo20220414170437, 
,0,MTHREE,8,GOOG,21014,42.05,1,C_algo20220414170437,0
,0,MTHREE,8,GOOG,21014, ,1,C_algo20220414170437,0
, ,MS,D,GOOGL,24165,289.20,2,algo20220414170441, 
,289.20,MTHREE,8,GOOGL,24165,289.20,2,algo20220414170441,0
, ,MS,F,GOOGL,24165, , ,C_algo20220414170441, 
,0,MTHREE,8,GOOGL,24165,289.20,2,C_algo20220414170441,0
,0,MTHREE,8,GOOGL,24165, ,2,C_algo20220414170441,0
, ,MS,D,INTC,1392,339.13,1,algo20220414170443, 
,339.13,MTHREE, ,INTC,1392,339.13,1,algo20220414170443,0
,339.13,MTHREE,8,INTC,1392,339.13,1,algo20220414170443,696
,339.13,MTHREE,8,INTC,1392,339.13,1,algo20220414170443,696
, ,MS,D,PEP,28225,36.21,2,algo20220414170445, 
,36.21,MTHREE,8,PEP,28225,36.21,2,algo20220414170445,0
, ,MS,F,PEP,28225, , ,C_algo20220414170445, 
,0,MTHREE,8,PEP,28225,36.21,2,C_algo20220414170445,0
,0,MTHREE,8,PEP,28225, ,2,C_algo20220414170445,0
, ,MS,D,NFLX,5452,306.71,1,algo20220414170447, 
,306.71,MTHREE,8,NFLX,5452,306.71,1,algo20220414170447,0
,306.71,MTHREE,8,NFLX,5452,306.71,1,algo20220414170447,5452
, ,MS,D,CSCO,12721,233.73,1,algo20220414170448, 
,233.73,MTHREE,8,CSCO,12721,233.73,1,algo20220414170448,0
, ,MS,F,CSCO,12721, , ,C_algo20220414170448, 
,0,MTHREE,8,CSCO,12721,233.73,1,C_algo20220414170448,0
,0,MTHREE,8,CSCO,12721, ,1,C_algo20220414170448,0
, ,MS,D,AMGN,22715,116.62,2,algo20220414170450, 
,116.62,MTHREE,8,AMGN,22715,116.62,2,algo20220414170450,0
, ,MS,F,AMGN,22715, , ,C_algo20220414170450, 
,0,MTHREE,8,AMGN,22715,116.62,2,C_algo20220414170450,0
,0,MTHREE,8,AMGN,22715, ,2,C_algo20220414170450,0
, ,MS,D,PYPL,16781,723.61,1,algo20220414170453, 
,723.61,MTHREE,8,PYPL,16781,723.61,1,algo20220414170453,0
,723.61,MTHREE,8,PYPL,16781,723.61,1,algo20220414170453,3356
, ,MS,F,PYPL,16781, , ,C_algo20220414170453, 
,0,MTHREE,8,PYPL,16781,723.61,1,C_algo20220414170453,0
,0,MTHREE,8,PYPL,16781, ,1,C_algo20220414170453,0
, ,MS,D,TSLA,13571,503.77,2,algo20220414170456, 
,503.77,MTHREE,8,TSLA,13571,503.77,2,algo20220414170456,0
,503.77,MTHREE,8,TSLA,13571,503.77,2,algo20220414170456,13571
, ,MS,D,TXN,20840,112.46,1,algo20220414170457, 
,112.46,MTHREE,8,TXN,20840,112.46,1,algo20220414170457,0
,112.46,MTHREE,8,TXN,20840,112.46,1,algo20220414170457,4168
,112.46,MTHREE,8,TXN,20840,112.46,1,algo20220414170457,4168
,112.46,MTHREE,8,TXN,20840,112.46,1,algo20220414170457,4168
, ,MS,F,TXN,20840, , ,C_algo20220414170457, 
,0,MTHREE,8,TXN,20840,112.46,1,C_algo20220414170457,0
,0,MTHREE,8,TXN,20840, ,1,C_algo20220414170457,0
, ,MS,D,AVGO,23991,262.99,2,algo20220414170502, 
,262.99,MTHREE,8,AVGO,23991,262.99,2,algo20220414170502,0
,262.99,MTHREE,8,AVGO,23991,262.99,2,algo20220414170502,23991
, ,MS,D,GILD,31260,82.91,1,algo20220414170503, 
,82.91,MTHREE,8,GILD,31260,82.91,1,algo20220414170503,0
,82.91,MTHREE,8,GILD,31260,82.91,1,algo20220414170503,6252
,82.91,MTHREE,8,GILD,31260,82.91,1,algo20220414170503,6252
, ,MS,F,GILD,31260, , ,C_algo20220414170503, 
,0,MTHREE,8,GILD,31260,82.91,1,C_algo20220414170503,0
,0,MTHREE,8,GILD,31260, ,1,C_algo20220414170503,0
, ,MS,D,SBUX,14847,75.71,2,algo20220414170507, 
,75.71,MTHREE,8,SBUX,14847,75.71,2,algo20220414170507,0
, ,MS,F,SBUX,14847, , ,C_algo20220414170507, 
,0,MTHREE,8,SBUX,14847,75.71,2,C_algo20220414170507,0
,0,MTHREE,8,SBUX,14847, ,2,C_algo20220414170507,0
, ,MS,D,QCOM,24842,75.47,1,algo20220414170509, 
,75.47,MTHREE,8,QCOM,24842,75.47,1,algo20220414170509,0
, , , , ,24842,75.47,1, ,12421
,75.47,MTHREE,8,QCOM,24842,75.47,1,algo20220414170509,12421
, ,MS,D,TMUS,18907,90.74,2,algo20220414170511, 
,90.74,MTHREE,8,TMUS,18907,90.74,2,algo20220414170511,0
, ,MS,F,TMUS,18907, , ,C_algo20220414170511, 
,0,MTHREE,8,TMUS,18907,90.74,2,C_algo20220414170511,0
,0,MTHREE,8,TMUS,18907, ,2,C_algo20220414170511,0
, ,MS,D,MDLZ,28902,52.26,1,algo20220414170513, 
,52.26,MTHREE,8,MDLZ,28902,52.26,1,algo20220414170513,0
,52.26,MTHREE,8,MDLZ,28902,52.26,1,algo20220414170513,14451
,52.26,MTHREE,8,MDLZ,28902,52.26,1,algo20220414170513,14451
, ,MS,D,BAC,22967,22.03,2,algo20220414170515, 
,22.03,MTHREE,8,BAC,22967,22.03,2,algo20220414170515,0
, ,MS,F,BAC,22967, , ,C_algo20220414170515, 
,0,MTHREE,8,BAC,22967,22.03,2,C_algo20220414170515,0
,0,MTHREE,8,BAC,22967, ,2,C_algo20220414170515,0
, ,MS,D,DDD,194,8.01,2,algo20220414170517, 
,8.01,MTHREE,8,DDD,194,8.01,2,algo20220414170517,0
,8.01,MTHREE,8,DDD,194,8.01,2,algo20220414170517,64
,8.01,MTHREE,8,DDD,194,8.01,2,algo20220414170517,64
,8.01,MTHREE,8,DDD,194,8.01,2,algo20220414170517,66
, ,MS,D,MMM,13823,146.98,2,algo20220414170520, 
,146.98,MTHREE,8,MMM,13823,146.98,2,algo20220414170520,0
, ,MS,F,MMM,13823, , ,C_algo20220414170520, 
,0,MTHREE,8,MMM,13823,146.98,2,C_algo20220414170520,0
,0,MTHREE,8,MMM,13823, ,2,C_algo20220414170520,0
, ,MS,D,WBAI,7888,4.10,1,algo20220414170522, 
,4.10,MTHREE,8,WBAI,7888,4.10,1,algo20220414170522,0
,4.10,MTHREE,8,WBAI,7888,4.10,1,algo20220414170522,7888
, ,MS,D,WUBA,31995,51.41,2,algo20220414170524, 
,51.41,MTHREE,8,WUBA,31995,51.41,2,algo20220414170524,0
, ,MS,F,WUBA,31995, , ,C_algo20220414170524, 
,0,MTHREE,8,WUBA,31995,51.41,2,C_algo20220414170524,0
,0,MTHREE,8,WUBA,31995, ,2,C_algo20220414170524,0
, ,MS,D,EGHT,9222,17.03,1,algo20220414170526, 
,17.03,MTHREE,8,EGHT,9222,17.03,1,algo20220414170526,0
,17.03,MTHREE,8,EGHT,9222,17.03,1,algo20220414170526,4611
